text
"just scan의 뜻은 디지털 덴티스트리 플로우 중 ‘Scan’외 과정은 저스트스캔이 모두 알아서 해준다는 의미로, 사용자의 편의성을 극대화 시킨 솔루션(자세한 내용 클릭)이다. just scan의 사용예시는 고민 없이 ‘저스트스캔’ 하세요~ 입니다."
gloud의 뜻은 인류의 삶의질 향상과 보편적 가치보존을 위해 필요한 글로벌(G) 규모의 의료클라우드(CLOUD)를 의미이다.
TaaS의 뜻은 소프트웨어의 SaaS처럼 Treatment as a Service 즉 치료/진료에 필요한 모든 것을 즉각적으로 활용할 수 있도록 제공해주는 서비스이다. TaaS의 사용예시는 “글라우드는 TaaS (Treatment as a Service) 를 통해 의료를 변화시킵니다.” 입니다.
"협업의 뜻은 동료들끼리 서로의 경험과 지식을 토대로 상호간의 업무 스타일과 역량을 고려하여 존중하고 의견을 취합하여 좋은 결과물을 만들어내(려)는 행위이다. 협업의 사용예시는 ""안녕하세요 지진우님! 글라우드 위키 작성과 관련해서 업무 협업 요청 드립니다!"" 입니다."
OKR의 뜻은 목표 및 핵심 결과 지표(Objective and Key Results)이다. OKR의 사용예시는 “각 팀 팀장님들께서는 2024년도 팀 별 OKR를 설정해주시길 바랍니다. 앞으로 설정해주신 팀 별 OKR를 기반으로 달성유무를 판단 후 팀원들의 처우에 반영 하도록 하겠습니다” 입니다.
"KPI의 뜻은 핵심성과지표  (Key Performance Indicator)이다. KPI의 사용예시는 “팀 별 OKR을 달성하기 위해 팀 원들의 KPI 설정 및 관리에도 신경을 써서 팀 원 개인들의 역량과 해당 팀, 그리고 글라우드의 역량을 증대시킬 수 있도록 신경써주시길 바랍니다.” 입니다."
"cc의 뜻은 참조 (carbon copy)이다. cc의 사용예시는 “영업팀장님! 해외 영업 관련해서 홍보자료 제작이 필요 할 것 같습니다! @유형상, cc@홍보팀” 입니다."
FYI의 뜻은 참고 (참고 바람) (For Your Information)이다. FYI의 사용예시는 “홍보팀장님! 홍보자료에 도움이 될 만한 자료들 공유드립니다! fyi 자료링크” 입니다.
"지르코니아의 뜻은 치아와 유사한 색상과 느낌을 가진 보철물재료. 자연치, 임플란트 모두에 사용됨, 현재 치과에서 가장 많이 사용하는 재료이다."
"KPT의 뜻은 KPT회고는 다양한 회고 방법론 중 하나이다. Keep, Problem, Try의 약자로 회고 내용을 세 가지 관점으로 분류하여 회고를 진행한다는 것이 중요한 포인트이다.이다. KPT의 사용예시는 상세 페이지에 자세히 설명 입니다."
지진우의 뜻은 천재 글라우드CEO 맵린이 치과의사이다. 지진우의 사용예시는 “지진우 대표님은 맵린이셔서 순한맛으로 부탁드립니다!” 입니다.
팝업의 뜻은 기존에 열려있는 브라우저 페이지 위에 또 다른 브라우저 페이지를 띄우는 것이다. 팝업의 사용예시는 상세 페이지에 자세히 설명 입니다.
